epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
211,1.168,0.518,1.308,0.900,0.941,0.949,0.605
212,1.171,0.520,1.311,0.900,0.941,0.949,0.605
213,1.168,0.517,1.306,0.901,0.941,0.950,0.606
214,1.169,0.517,1.310,0.900,0.941,0.949,0.606
215,1.168,0.518,1.312,0.901,0.940,0.949,0.606
216,1.166,0.518,1.313,0.901,0.939,0.949,0.606
217,1.163,0.514,1.306,0.901,0.939,0.949,0.606
218,1.167,0.515,1.308,0.900,0.939,0.949,0.606
219,1.159,0.513,1.304,0.901,0.939,0.949,0.606
220,1.156,0.514,1.303,0.900,0.938,0.949,0.607
221,1.156,0.511,1.300,0.902,0.938,0.949,0.606
222,1.160,0.513,1.305,0.902,0.938,0.949,0.606
223,1.159,0.512,1.307,0.901,0.938,0.949,0.606
224,1.153,0.506,1.299,0.901,0.938,0.949,0.605
225,1.151,0.507,1.299,0.900,0.939,0.949,0.605
226,1.150,0.509,1.302,0.900,0.938,0.949,0.605
227,1.146,0.505,1.298,0.899,0.939,0.949,0.605
228,1.148,0.507,1.293,0.898,0.939,0.948,0.604
229,1.151,0.507,1.298,0.897,0.941,0.948,0.603
230,1.146,0.504,1.295,0.897,0.940,0.948,0.603
231,1.143,0.504,1.295,0.897,0.940,0.948,0.603
232,1.146,0.506,1.296,0.897,0.939,0.948,0.603
233,1.146,0.505,1.297,0.897,0.940,0.948,0.603
234,1.139,0.501,1.293,0.897,0.939,0.947,0.602
235,1.144,0.503,1.296,0.897,0.940,0.948,0.603
236,1.142,0.501,1.296,0.897,0.938,0.948,0.602
237,1.137,0.497,1.288,0.898,0.938,0.948,0.602
238,1.131,0.495,1.287,0.897,0.938,0.948,0.601
239,1.140,0.501,1.293,0.897,0.939,0.947,0.600
240,1.134,0.496,1.287,0.897,0.939,0.947,0.600
241,1.142,0.501,1.295,0.897,0.938,0.947,0.600
242,1.138,0.496,1.289,0.896,0.938,0.946,0.599
243,1.136,0.495,1.289,0.895,0.939,0.946,0.599
244,1.138,0.500,1.292,0.896,0.938,0.946,0.599
245,1.128,0.491,1.286,0.896,0.938,0.946,0.599
246,1.131,0.495,1.288,0.895,0.936,0.946,0.599
247,1.132,0.495,1.290,0.895,0.936,0.946,0.599
248,1.125,0.493,1.282,0.895,0.937,0.946,0.598
